code,title,units,prereqs,offered,corrupt,prereqs_parsed
CHINESE 1,Intensive Elementary Chinese,10 Units,,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Summer 2018 10 Week Session, Summer 2017 10 Week Session, Summer 2016 10 Week Session<br/>
This course is the equivalent of Chinese 1A and Chinese 1B offered in the regular academic year.",0,
CHINESE 1A,Elementary Chinese,5 Units,,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
The course is designed for students who are of non-Chinese origin and were not raised in a Chinese-speaking environment; or who are of Chinese origin but do not speak Chinese and whose parents do not speak Chinese. The course develops beginning learners’ functional language ability—the ability to use Mandarin Chinese in linguistically and culturally appropriate ways at the beginning level.",0,
CHINESE 1B,Elementary Chinese,5 Units, Chinese 1A,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
The course is designed for students who are of non-Chinese origin and were not raised in a Chinese-speaking environment, or who are of Chinese origin but do not speak Chinese and whose parents do not speak Chinese. The course continues to focus on training students in the four language skills--speaking, listening, reading, and writing with a gradually increasing emphasis on basic cultural",0,CHINESE1A
CHINESE 1X,Elementary Chinese for Mandarin Speakers,4 Units, Consent of instructor,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Spring 2018, Fall 2017, Fall 2016<br/>
This course is designed specifically for Mandarin heritage students who possess speaking skill but little or no reading and writing skills in Chinese. The course utilizes students’ prior knowledge of listening and speaking skills to advance them to the intermediate Chinese proficiency level in one semester. Close attention is paid to meeting Mandarin heritage students’ literacy needs in",0,???
CHINESE 1Y,Elementary Chinese for Dialect Speakers,5 Units, Consent of instructor,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
The course is designed for students who have had exposure to a non-Mandarin Chinese dialect but cannot speak Mandarin and possess little or no reading and writing skills in Chinese. The course helps students gain a fundamental knowledge about Mandarin Chinese and explore their Chinese heritage culture through language. Students learn ways and discourse strategies to express themselves and",0,???
CHINESE 7A,Introduction to Premodern Chinese Literature and Culture,4 Units,,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Summer 2018 First 6 Week Session, Fall 2017, Summer 2017 First 6 Week Session<br/>
The first in a two-semester sequence, introducing students to Chinese literature in translation. In addition to literary sources, a wide range of philosophical and historical texts will be covered, as well as aspects of visual and material culture. 7A covers early China through late medieval China, up to and including the Yuan Dynasty (14th century);",0,
CHINESE 7B,Introduction to Modern Chinese Literature and Culture,4 Units,,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Summer 2018 Second 6 Week Session, Spring 2018, Summer 2017 Second 6 Week Session<br/>
The second of a two-semester sequence introducing students to Chinese literature in translation. In addition to literary sources, a wide range of philosophical and historical texts will be covered, as well as aspects of visual and material culture. 7B focuses on late imperial, modern, and contemporary China. The course will focus on the development",0,
CHINESE 10,Intensive Intermediate Chinese,10 Units, Chinese 1 or Chinese 1B,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Summer 2018 10 Week Session, Summer 2017 10 Week Session, Summer 2016 10 Week Session<br/>
This course is equivalent to Chinese 10A and Chinese 10B offered in the regular academic year.",0,CHINESE1|CHINESE1B
CHINESE 10A,Intermediate Chinese,5 Units, Chinese 1 or Chinese 1B; or consent of instructor,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Spring 2018, Fall 2017, Fall 2016<br/>
The course is designed for students who are of non-Chinese origin and were not raised in a Chinese-speaking environment, or who are of Chinese origin but do not speak Chinese and whose parents do not speak Chinese. The course deals with lengthy conversations as well as narrative and descriptive texts in both simplified and traditional characters. It helps students to express themselves in",0,CHINESE1|CHINESE1B
CHINESE 10B,Intermediate Chinese,5 Units, Chinese 10A; or consent of instructor,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
The course further develops students’ linguistic and cultural competence. In dealing with texts, students are guided to interpret, narrate, describe, and discuss topics ranging from real-life experience and personal memoire to historic events. Intercultural competence is promoted through linguistic and cultural awareness and language use in culturally appropriate contexts.",0,CHINESE10A
CHINESE 10X,Intermediate Chinese for Mandarin Speakers,4 Units, Chinese 1X; or consent of instructor,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
The course continues to develop students’ literacy and communicative competence through vocabulary and structure expansion dealing with topics related to Chinese heritage students’ personal experiences. Students are guided to express themselves on complex issues and to connect their language knowledge with real world experiences.",0,CHINESE1X
CHINESE 10Y,Intermediate Chinese for Dialect Speakers,5 Units, Chinese 1Y; or consent of instructor,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
The course helps students further develop their linguistic and cultural competence in Mandarin Chinese. It trains students to use Mandarin more appropriately and confidently in speaking, reading, and writing. With the expanded repertoire of Chinese language use and the increased awareness of the differences between cultures and subcultures, students are equipped to negotiate their way",0,CHINESE1Y
CHINESE 51,Chinese Thought in the Han Dynasty,4 Units,,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Fall 2017<br/>
This course examines the complex worldviews of China’s Han period, the centuries that follow its unification and the establishment of its empire. The momentous changes of this period shaped traditional and contemporary views of history and society, philosophy, and religion, and as a result are still relevant today. This course will look at Han “thought,” a word chosen for its range, including religion, state ritual",0,
